num,en,jp,progression,my
1501,1502,archive,〔しばしば～s〕記録文書，公文書；公文書保管所；（コンピューターの）アーカイブ,0,0
1502,1503,devise,を考案する,0,0
1503,1504,precede,に先行する,0,0
1504,1505,horrify,を怖がらせる,0,0
1505,1506,lodge,(苦情・抗議など)を申し出る、を預ける、を泊める,0,0
1506,1507,mediate,調停する、仲裁する,0,0
1507,1508,mingle,付き合う、仲間に入る、混ざる,0,0
1508,1509,perspire,汗をかく,0,0
1509,1510,concede,(しぶしぶ)～と認める,0,0
1510,1511,hinder,を妨げる,0,0
1511,1512,waver,(心が)揺れ動く、迷う,0,0
1512,1513,formulate,(計画など)を(注意深く)まとめる、を明確に述べる,0,0
1513,1514,exhale,(息・煙・言葉など)を吐き出す,0,0
1514,1515,rebound,(ボールなどが)跳ね返る,0,0
1515,1516,gratify,を喜ばせる、を満足させる,0,0
1516,1517,pledge,を誓う，約束する；を与えることを約束する,0,0
1517,1518,fasten,をしっかり留める、を固定する,0,0
1518,1519,relay,を伝達する、を取り次ぐ、を中継で送る,0,0
1519,1520,align,を一直線に並べる,0,0
1520,1521,ascend,（を）上がる,0,0
1521,1522,gaze,じっと見る,0,0
1522,1523,adore,が大好きである、を敬愛する,0,0
1523,1524,chill,(食べ物・飲み物など)を冷やす、冷える,0,0
1524,1525,curve,カーブする、曲がる,0,0
1525,1526,deflate,(タイヤ・風船などが)しぼむ、をしぼませる,0,0
1526,1527,detach,を分離する、を取り外す,0,0
1527,1528,enclose,を同封する；を取り囲む,0,0
1528,1529,fetch,を（行って）持って［連れて］くる,0,0
1529,1530,proclaim,を宣言する,0,0
1530,1531,forge,を偽造する；（関係など）を築く；を鍛造する,0,0
1531,1532,outburst,(火山・怒り・笑いなど)の爆発,0,0
1532,1533,dimension,局面、寸法、規模、次元,0,0
1533,1534,swarm,大群,0,0
1534,1535,sequel,続編、結果,0,0
1535,1536,artifact,人工遺物、工芸品,0,0
1536,1537,mercy,慈悲；〔通例a ～〕幸運,0,0
1537,1538,successor,後継者、相続人,0,0
1538,1539,triumph,(大)勝利、成功,0,0
1539,1540,clause,(法律・条約などの)条項、(文の)節,0,0
1540,1541,analogy,類推；類似,0,0
1541,1542,downfall,破滅、転落、(雨・雪などの)大降り,0,0
1542,1543,fusion,融合(物)、(政府などの)連立,0,0
1543,1544,fracture,骨折、割れ目、裂け目,0,0
1544,1545,menace,困りもの、危険人物、脅威,0,0
1545,1546,setback,(進歩・発展の)妨げ、支障,0,0
1546,1547,empathy,共感、感情移入,0,0
1547,1548,tumble,転倒、(株価などの)暴落,0,0
1548,1549,diameter,直径,0,0
1549,1550,momentum,勢い、はずみ,0,0
1550,1551,troop,軍隊、兵隊,0,0
1551,1552,pharmacy,薬屋、薬局,0,0
1552,1553,nightmare,悪夢、(悪夢のような)恐ろしい経験,0,0
1553,1554,slope,坂、斜面,0,0
1554,1555,glacier,氷河,0,0
1555,1556,grief,(死などに対する)深い悲しみ、悲痛,0,0
1556,1557,misery,惨めさ、悲惨さ,0,0
1557,1558,accent,なまり、方言,0,0
1558,1559,ambassador,大使,0,0
1559,1560,autopsy,検死,0,0
1560,1561,blast,爆発、爆破、突風,0,0
1561,1562,courtesy,礼儀正しさ；好意；優遇,0,0
1562,1563,deed,(意図的な)行為、行い,0,0
1563,1564,discourse,話し合い，会話；講演；論説,0,0
1564,1565,impulse,衝動,0,0
1565,1566,jar,(広口の)びん、つぼ,0,0
1566,1567,sibling,兄弟姉妹(の１人),0,0
1567,1568,enthusiasm,熱狂、熱中,0,0
1568,1569,treasure,宝物、貴重品,0,0
1569,1570,horizontal,水平な,0,0
1570,1571,indefinite,限定されない、不定の、はっきりしない,0,0
1571,1572,vulgar,下品な、無作法な,0,0
1572,1573,resilient,回復力のある、弾力(性)ある,0,0
1573,1574,aquatic,(動植物が)水生の、水の,0,0
1574,1575,insistent,強く主張する、執拗な,0,0
1575,1576,frantic,大急ぎの、気が狂いそうな,0,0
1576,1577,deceptive,人を惑わすような,0,0
1577,1578,illogical,筋の通らない、不合理な,0,0
1578,1579,elaborate,精巧な、入念な,0,0
1579,1580,mellow,(性格が)円熟した、柔らかくて豊かな[美しい],0,0
1580,1581,boundless,無限の,0,0
1581,1582,cordial,心温まる、心からの,0,0
1582,1583,seasonal,季節(ごと)の,0,0
1583,1584,sour,酸っぱい,0,0
1584,1585,swift,素早い,0,0
1585,1586,cumulative,累積する、しだいに増加する,0,0
1586,1587,savage,残酷な、凶暴な,0,0
1587,1588,admirable,賞賛に値する、素晴らしい,0,0
1588,1589,informative,有益な、情報[知識]を提供する,0,0
1589,1590,proportional,釣り合った、比例した,0,0
1590,1591,simultaneous,同時に起こる,0,0
1591,1592,static,変化[進歩]のない,0,0
1592,1593,uneasy,不安な、心配な、落ち着かない,0,0
1593,1594,unequal,(権利などが)不平等な,0,0
1594,1595,autonomous,自治の、自主的な,0,0
1595,1596,bold,大胆な、勇敢な,0,0
1596,1597,pessimistic,悲観的な,0,0
1597,1598,repetitive,繰り返しの,0,0
1598,1599,respiratory,呼吸器に関する、呼吸の,0,0
1599,1600,coherent,一貫した，筋の通った；結束した,0,0
1600,1601,account for ～,(割合・分量など)を占める、～(の理由)を説明する,0,0
1601,1602,accuse A of B,AをBの罪で告訴する、AをBの理由で非難する,0,0
1602,1603,act on ～,(忠告・情報など)に従って行動する、～に影響を及ぼす,0,0
1603,1604,act out ～,(物語・経験など)を身振りで実演する,0,0
1604,1605,add up to ～,(合計が)～になる、結局～ということになる,0,0
1605,1606,adhere to ～,(信念・規則など)を順守する、～に固執する,0,0
1606,1607,air out ～,(部屋など)を換気する、(衣類・寝具など)を外気に当てる,0,0
1607,1608,all but,ほとんど,0,0
1608,1609,allow for ～,～を考慮に入れる、～を見込む,0,0
1609,1610,answer for ～,～の責任を負う、～の罰を受ける,0,0
1610,1611,aspire to do ～,～することを熱望[切望]する,0,0
1611,1612,attribute A to B,AをBのせいと考える,0,0
1612,1613,back down,撤回する、敗北[非]を認める,0,0
1613,1614,back off,手を引く、撤回する、後退する,0,0
1614,1615,back up ～,～を裏付ける、～を支援する、(ファイルなど)のコピーを取る,0,0
1615,1616,back on ～,～を当てにする,0,0
1616,1617,be committed to ～,～に献身している,0,0
1617,1618,be destined to do ～,～する運命である,0,0
1618,1619,(be) free of ～,(料金・税金など)がない、～免除されている,0,0
1619,1620,be obsessed with ～,(妄想・固定観念など)に取りつかれている,0,0
1620,1621,be subject to ～,(病気など)にかかりやすい、(影響など)を受けやすい,0,0
1621,1622,blast off,打ち上げられる、発射される,0,0
1622,1623,blow up,(かんかんに)怒る、爆発する,0,0
1623,1624,bounce back,(打撃・病気などから)回復する、立ち直る,0,0
1624,1625,branch off,(話題が)変わる、(わき道に)それる,0,0
1625,1626,break away from ～,(伝統・習慣など)を断つ、(束縛など)から逃れる,0,0
1626,1627,break down,決裂する、失敗する、故障する,0,0
1627,1628,break off ～,～を中断する、～を急にやめる,0,0
1628,1629,break out,勃発する、(伝染病などが)発生する,0,0
1629,1630,bring about ～,～を引き起こす、～を招く,0,0
1630,1631,bring down ～,(人・政府など)を(打ち)倒す,0,0
1631,1632,bring off ～,～をやってのける、～を成し遂げる,0,0
1632,1633,bring on ～,(災い・病気など)をもたらす,0,0
1633,1634,bring out ～,(才能・性質など)を引き出す、～を発揮させる,0,0
1634,1635,bump into ～,～にばったり出会う,0,0
1635,1636,burn out ～,(人)を疲れ果てさせる、～を燃え尽きさせる,0,0
1636,1637,by means of ～,～用いて、～によって,0,0
1637,1638,call for ～,～を必要とする、～を要求する,0,0
1638,1639,call off ～,～を中止する,0,0
1639,1640,call on ～,～を訪ねる、(人)に頼む,0,0
1640,1641,carry away ～,無我夢中になる、～を持ち去る,0,0
1641,1642,carry through ～,～を成し遂げる、～を成就させる,0,0
1642,1643,catch up on ～,(近況など)について新しい情報を知る、～の遅れを取り戻す,0,0
1643,1644,check off ～,～にチェックマークをつける,0,0
1644,1645,chip in ～,(金・労力などを)出し合う,0,0
1645,1646,clean out ～,～の中をきれいにする、～を空にする,0,0
1646,1647,clear out ～,～の中身を出してきれいに片付ける、～を空にする,0,0
1647,1648,clear up (～),(誤解など)を解く、(問題など)を解明する、～片付ける、晴れる,0,0
1648,1649,close in (on ～),(～を)包囲する、(～に)追ってくる,0,0
1649,1650,come after ～,～の後をつける、～を追跡する,0,0
1650,1651,come before ～,(問題などが)(法廷など)で審議される、(法廷など)に出頭する,0,0
1651,1652,come down to ～,要するに～ということになる,0,0
1652,1653,come down with ～,(軽い病気)にかかる,0,0
1653,1654,come into ～,～の状態になる,0,0
1654,1655,come off,結局～になる、行われる,0,0
1655,1656,come through,要求に応える、伝えられる,0,0
1656,1657,comply with ～,(規則・基準など)に従う,0,0
1657,1658,contribute to ～,～の一因となる、～に寄与[貢献]する～に寄付する,0,0
1658,1659,cope with ～,～うまく処理する、～に対処する,0,0
1659,1660,count for ～,～の価値がある,0,0
1660,1661,count on ～,～を当てにする,0,0
1661,1662,cover for ～,～の代わり[代理]を務める,0,0
1662,1663,cover up ～,～(の事実)を隠す、～を秘密にする,0,0
1663,1664,crack up,神経が参る、気が変になる、大笑いする,0,0
1664,1665,cross out ～,～を線を引いて消す,0,0
1665,1666,cut back (on ～),(～を)削減[縮小]する,0,0
1666,1667,cut down (on ～),(～を)減らす,0,0
1667,1668,cut in (on ～),(話などに)割り込む、さえぎる,0,0
1668,1669,deal in ～,(商品)を商う、(仕事など)に従事する,0,0
1669,1670,deprive A of B,AからBを奪う,0,0
1670,1671,die down,静まる、衰える,0,0
1671,1672,die out,絶滅する,0,0
1672,1673,dispose of ～,～を処分する、を捨てる,0,0
1673,1674,do away with ～,～を廃止する、～を取り除く,0,0
1674,1675,drag on,(会議などがだらだらと)長引く,0,0
1675,1676,drag out ～,～を(必要以上に)長引かせる,0,0
1676,1677,draw on ～,(技術・経験など)に頼る、～を利用する,0,0
1677,1678,draw up ～,(計画)を立てる、(報告書など)を作成する,0,0
1678,1679,dream up ～,(奇抜な考え・計画など)を思いつく、～を考え出す,0,0
1679,1680,drive off [away] ～,～を追い払う,0,0
1680,1681,drive up ～,(価格など)を急速に上昇させる,0,0
1681,1682,drop back (to ～),(～に)後退する、順位が下がる,0,0
1682,1683,drop out (of ～),(活動・集団から)身を引く、(学校を)中途退学する,0,0
1683,1684,ease into ～,(仕事など)に徐々に慣れる,0,0
1684,1685,eat up ～,～を使い果たす、～を食べ尽くす,0,0
1685,1686,embark on [upon] ～,(事業など)に乗り出す、～に着手する,0,0
1686,1687,endear A to B,AをBに慕わせる,0,0
1687,1688,even up ～,～を等しくする、～を均等にする,0,0
1688,1689,face off,対決する,0,0
1689,1690,fall away,減少する、弱まる、衰える,0,0
1690,1691,fall back on ～,～を当てにする,0,0
1691,1692,fall for ～,(うまい話・売り込みなど)に乗せられる、～に強く引きつけられる,0,0
1692,1693,fall off,(数・量が)減少する、(質が)低下する,0,0
1693,1694,fall on ～,(責任・仕事などが)～に降りかかる、(記念日などが)～に当たる,0,0
1694,1695,fall through,(計画などが)駄目になる、失敗する,0,0
1695,1696,fall under ～,(影響・監督など)を受ける,0,0
1696,1697,feel for ～,～に同情する、～を思いやる,0,0
1697,1698,figure out ～,～を理解する、～を解決する,0,0
1698,1699,fill out ～,(書類)に必要事項を記入する,0,0
1699,1700,fire up ～,～始動させる、～に火をつける,0,0
1700,1701,fit into ～,～に溶け込む、～に収まる,0,0
1701,1702,fix up ～,～を修理する、～を改装する,0,0
1702,1703,for all ～,～にもかかわらず、～を考慮しても,0,0
1703,1704,for the time being,当分の間(は)、さしあたり,0,0
1704,1705,force down ～,(感情など)を抑える,0,0
1705,1706,free up ～,～を自由化する、～解放する,0,0
1706,1707,frown on [upon] ～,～に難色を示す、～に不賛成の意を表す,0,0
1707,1708,gear up ～,準備をする,0,0
1708,1709,get around (～),あちこち動き回る、歩き回る、～をうまく避ける、～を逃れる,0,0
1709,1710,get around to doing ～,～をする余裕[暇]ができる,0,0
1710,1711,get away with ～,～を(罰などを受けずに)うまくやる,0,0
1711,1712,get by ～,何とかやっていく、通り抜ける,0,0
1712,1713,get down to ～,～本気で取りかかる,0,0
1713,1714,get in on ～,～に参加する、～に加わる,0,0
1714,1715,get into ～,(本・映画・音楽など)に夢中になる、(ある状態)になる,0,0
1715,1716,get on with ～,(仕事など)を続ける、(人)とうまくやっていく,0,0
1716,1717,give away ～,(秘密・答えなど)をばらす、～をただで与える、～を安く売る,0,0
1717,1718,give in (to ～),(～に)降参する、屈する、負ける,0,0
1718,1719,give off ～,(光・音・においなど)を発する,0,0
1719,1720,give A over to B,AをBに預ける、AをBに引き渡す,0,0
1720,1721,give rise to ～,～の原因となる、(悪い事態)を生じさせる,0,0
1721,1722,go back on ～,(約束など)を破る,0,0
1722,1723,go for ～,～を選ぶ,0,0
1723,1724,grow into ～,(成長して)(服など)を着られるようになる,0,0
1724,1725,grow on ～,(人)の気にいるようになる、(習慣などが)～の身につてくる,0,0
1725,1726,grow out of ～,(成長して)(行為・習慣など)から脱する、～から生じる,0,0
1726,1727,hand down ～,(伝統・慣習など)を(後世に)伝える、(判決など)を言い渡す,0,0
1727,1728,hand off ～,～を任せる、～を引き渡す,0,0
1728,1729,hand out A (to B),(Bに)Aを配る,0,0
1729,1730,hang around (～),(～を)ぶらつく、うろつく,0,0
1730,1731,hang on,(少し)待つ、電話を切らずにおく,0,0
1731,1732,hang up ～,(電話を)切る,0,0
1732,1733,head off (～),～を阻止する、～を回避する、出かける、立ち去る,0,0
1733,1734,head out,出かける、立ち去る,0,0
1734,1735,hold back ～,～を抑えておく,0,0
1735,1736,hold off ～,～を引き延ばす、～を延期する,0,0
1736,1737,hold out (～),(敵・逆境・圧力などに)もちこたえる、～を差し出す,0,0
1737,1738,hold over ～,続映[続演]される、～を延期する,0,0
1738,1739,in a row,連続で,0,0
1739,1740,in favor of ～,～に賛成して、～を支持して,0,0
1740,1741,in response to ～,～に応えて、～に応じて,0,0
1741,1742,in terms of ～,～の観点から,0,0
1742,1743,in the event of ～,(万一)～の場合には,0,0
1743,1744,in vain,無駄に、効果なく、～にすぐ飛びつく,0,0
1744,1745,jump at ～,～にすぐ飛びつく,0,0
1745,1746,keep track of ～,(人の動向・情勢など)に注意している、～の跡をたどる,0,0
1746,1747,keep up with ～,(時勢・流行・人・仕事・勉強など)に遅れずについていく,0,0
1747,1748,kick around ～,(計画・提案など)をあれこれ検討する,0,0
1748,1749,kick in,(薬などが)効き始める、機能し始める,0,0
1749,1750,kick off A (with B),(Bで)Aを開始する,0,0
1750,1751,kick A out (of B),(Bから)Aを追い出す[首にする],0,0
1751,1752,knock down ～,～を取り壊す、～を解体する、～を殴り倒す,0,0
1752,1753,lay into ～,～を厳しく非難する、～を攻撃する,0,0
1753,1754,lay off ～,(一時的にまたは永久に) ～を解雇する,0,0
1754,1755,leave off (～),(～を)やめる,0,0
1755,1756,let alone ～,まして～、～は言うまでもなく,0,0
1756,1757,let down ～,～を失望させる、～(の期待・信頼)を裏切る,0,0
1757,1758,let out ～,(声など)を出す、(感情)を表す、～を外に出す,0,0
1758,1759,let up,手を緩める、(望ましくないことが)弱まる、(風雨などが)やむ,0,0
1759,1760,level off [out],横ばいになる、安定する,0,0
1760,1761,lift off,(飛行機などが)離陸する,0,0
1761,1762,live up to ～,(期待など)に応える、(規範など)に従って行動する,0,0
1762,1763,lock in ～,～を固定する、(鍵をかけて)～を閉じ込める,0,0
1763,1764,look down on ～,～を見下す、～を軽蔑する,0,0
1764,1765,make (both) ends meet,(収支を合わせて)収入内で何とかやりくりする,0,0
1765,1766,make do with ～,(あり合わせのもの)で済ます,0,0
1766,1767,make it,間に合う、成功する、(会合などに)出席できる,0,0
1767,1768,make out (～),～を理解する、うまくやる,0,0
1768,1769,make over ～,～を作り変える、～変身させる,0,0
1769,1770,mark down ～,～を値下げする、～を書き留める,0,0
1770,1771,mark out ～,(線などで)～を区画する、～を区切る,0,0
1771,1772,miss out on ～,(機会・好機など)を逸する,0,0
1772,1773,narrow down ～,(範囲など)を制限する、～を狭くする,0,0
1773,1774,on a ～ basis,～の基準で、～の原則で,0,0
1774,1775,on [in] behalf of A,Aを代表して、Aに代わって,0,0
1775,1776,on the contrary,それどころか、まるで反対で,0,0
1776,1777,on the spot,その場で、即座に,0,0
1777,1778,on the verge of ～,～の間際[寸前]で,0,0
1778,1779,over the hump,難局を脱して、峠を越して,0,0
1779,1780,owing to ～,～のために、～の理由で,0,0
1780,1781,pack up,(仕事などが終わって)持ち物をまとめる、荷造りする,0,0
1781,1782,pass for ～,～で通る、～と見なされる,0,0
1782,1783,pass off A (as B),Aを(Bだと)偽る,0,0
1783,1784,pass A on (to B),A(もの・情報・病気・利益など)を(Bに)伝える[渡す],0,0
1784,1785,pass out,気絶する,0,0
1785,1786,pay off ～,(借金など)を全部支払う,0,0
1786,1787,phase out ～,～を段階的に廃止[排除]する,0,0
1787,1788,pick over ～,～念入りに調べて選ぶ、～を吟味する,0,0
1788,1789,pick through ～,～の中をくまなく探す,0,0
1789,1790,pile up,(仕事・借金などが)どんどんたまる、山積する,0,0
1790,1791,pin down ～,～を押さえつける、～を動けなくする,0,0
1791,1792,play down ～,～を(実際より)重要でないように見せようとする,0,0
1792,1793,play out (～),(物事・状況が)展開する、徐々に進展する、～を最後まで演じる,0,0
1793,1794,play up ～,～を誇張する、～強調する,0,0
1794,1795,point to ～,(状況・証拠などが)～を示す、(大事な点・理由など)を指摘する,0,0
1795,1796,pull back (～),後退する、～を後退させる、思いとどまる,0,0
1796,1797,pull in ～,(観客・客など)を引きつける、(利益・金など)を得る,0,0
1797,1798,pull off ～,(困難なこと)をやってのける,0,0
1798,1799,pull through ～,(病気・苦境など)を切り抜ける,0,0
1799,1800,push for ～,～を要求する、～を得ようと努める,0,0
1800,1801,push through ～,(議案など)を通す、～を突き進む,0,0
1801,1802,put down ～,(金額)を手付金として払う、～を書き留める,0,0
1802,1803,put forth ～,(力など)を発揮する、(計画・案など)を提出する,0,0
1803,1804,put toward ～,～を提案[提出]する,0,0
1804,1805,put in ～,(設備など)を備え付ける、(金・時間・精力など)をつぎ込む,0,0
1805,1806,put A through (to B),Aの電話を(Bに)つなぐ,0,0
1806,1807,read off ～,(リストなど)を読み上げる,0,0
1807,1808,refrain from doing ～,～するのを控える、～するのをやめる,0,0
1808,1809,regardless of ～,～に(も)かかわらず、～にかまわず,0,0
1809,1810,roll in (～),(金など)がたくさんある、転がり込む、どっと集まる,0,0
1810,1811,roll up ～,～をくるくると巻く、(そで・すそ)をまくり上げる,0,0
1811,1812,round off ～,～を締めくくる、～をうまく終える,0,0
1812,1813,round up ～,(散らばった人など)を集める、～を逮捕する,0,0
1813,1814,rule out ～,～を排除する、～を除外する,0,0
1814,1815,run against ～,～に不利になる,0,0
1815,1816,run down ～,(車・運転手が)～をひく、～のことを悪く言う、～を突き止める,0,0
1816,1817,run through ～,ざっと～を読み上げる[に目を通す],0,0
1817,1818,scoop up ～,～を抱き上げる、～をすくい上げる,0,0
1818,1819,scratch out ～,～を削除する、やっと(生計)を立てる,0,0
1819,1820,see about ～,～を検討する、～を手配する、～を何とかする,0,0
1820,1821,see A off,(空港・駅などで)Aを見送る,0,0
1821,1822,see through ～,～を見抜く、～を見破る、～を通して見る,0,0
1822,1823,sell out,(期待を)裏切る、(ものが)売り切れる,0,0
1823,1824,send for ～,(人・助けなど)を呼ぶ、～に来てもらう,0,0
1824,1825,send out for ～,(食べ物)の出前を頼む,0,0
1825,1826,set aside ～,(時間・金など)をとっておく、～をわきへどける,0,0
1826,1827,set down ～,～を書き留める,0,0
1827,1828,set in,(季節・流行・好ましくないものなどが)始まる、起こる,0,0
1828,1829,set off (～),出発する、～を引き起こす、～を作動させる,0,0
1829,1830,set out to do ～,～することに着手する、～し始める,0,0
1830,1831,set up ～,(会合など)を準備する、～を設置する、(会社・組織など)を作る,0,0
1831,1832,settle down,ゆったりとくつろぐ、落ち着く、定住する,0,0
1832,1833,settle up (with ～),(～と)精算する、(～に)勘定を支払う,0,0
1833,1834,shake up ～,～を刷新する、～を動揺させる、～を奮い立たせる,0,0
1834,1835,show off (～),いいところを見せる、～を見せびらかす,0,0
1835,1836,show up,現れる、やってくる,0,0
1836,1837,sign up for ～,(署名して)～に参加する、(受講など)の届けを出す,0,0
1837,1838,single out ～,～を(特に)選び出す,0,0
1838,1839,sink in,十分に理解される、分かってもらう,0,0
1839,1840,sit back,何もしないで[手をこまねいて]いる、くつろぐ、(いすに)深く座る,0,0
1840,1841,sit by,(悪い事態を)黙って見ている、傍観する,0,0
1841,1842,sit in,参加する、見学[参観]する、代理を務める,0,0
1842,1843,skim over ～,～をざっと見る、～表面的に扱う,0,0
1843,1844,slip by,(時・機会が)いつの間にか過ぎる,0,0
1844,1845,smooth over ～,(話し合いをして)(問題・困難など)を処理しやすくする,0,0
1845,1846,speak for ～,～を代表して意見を述べる、～を代弁する、～への支持を表明する,0,0
1846,1847,split up (～),別れる、分裂する、～を分裂させる,0,0
1847,1848,spring from ～,～から生じる、(人が)～の出である,0,0
1848,1849,spring up,急に生まれる、急成長する,0,0
1849,1850,stand down (as ～),(公職など)を辞任する,0,0
1850,1851,stand for ～,～の略である、～を意味する、～を支持する,0,0
1851,1852,stand up to ～,～に抵抗する、～に立ち向かう、～に耐える,0,0
1852,1853,stay off ～,(健康のため)～を控える、～に近づかない,0,0
1853,1854,step down [aside],辞任する,0,0
1854,1855,stick around,そこらで待つ、帰らずにいる,0,0
1855,1856,stick to [by] ～,(主義など)を堅持する、～をやり続ける,0,0
1856,1857,stick up for ～,～をあくまでも擁護する、～を支持する,0,0
1857,1858,stick with ～,～を最後までやり抜く、～を続けてする,0,0
1858,1859,stir in ～,～を入れてかき混ぜる,0,0
1859,1860,stir up ～,(騒ぎなど)を引き起こす、(想像力・記憶など)をかき立てる,0,0
1860,1861,sum up ～,～を要約する,0,0
1861,1862,take in ～,～を摂取する、(光景など)を観察する、～をだます、～を理解する,0,0
1862,1863,tale on ～,(特にきつい仕事・責任)を引き受ける,0,0
1863,1864,take over ～,～を引き継ぐ、～を買収する、～を占領する,0,0
1864,1865,take up ～,～を趣味[職業・学問]として始める、(問題など)を取り上げる,0,0
1865,1866,talk down to A,Aを見下した調子で話す,0,0
1866,1867,talk A into doing ～,Aを説得して～させる,0,0
1867,1868,talk up ～,(人・もの)を実際以上に興味深いもののように話す,0,0
1868,1869,tear down ～,～を取り壊す、～を解体する、～を殴り倒す,0,0
1869,1870,tell on ～,(特に子供が)～のことを告げ口する、～にこたえる,0,0
1870,1871,the other way around,(方角・事情などが)逆に[で],0,0
1871,1872,throw off ～,(衣服など)をさっと脱ぐ[脱ぎ捨てる]、～を払いのける,0,0
1872,1873,throw up (～),嘔吐する、(食べ物)を吐く,0,0
1873,1874,tidy up ～,(部屋・家・机など)を片付ける、～を整理する,0,0
1874,1875,tie up ～,忙しくて身動きできない、～を固く縛る,0,0
1875,1876,tip over (～),ひっくり返る、倒れる、～をひっくり返す,0,0
1876,1877,touch up ～,(絵・文章・化粧など)を手直しする、～を修正する,0,0
1877,1878,track down ～,～を追跡して捕らえる、～を追い詰める,0,0
1878,1879,trip up (A),Aをつまずかせる、つまずく、しくじる,0,0
1879,1880,try out ～,～を試してみる、～の効果を試す,0,0
1880,1881,tune in (to ～),(局・番組などに)テレビ[ラジオ]のチャンネルを合わせる,0,0
1881,1882,tune up (～),(楽器)を調律する、(エンジン・機械など)を整備する、調律する,0,0
1882,1883,turn around (～),(商売・経済など)を好転させる、～の向きを変える、好転する,0,0
1883,1884,turn away ～,～を追い払う、(客など)の入場を断る、～を背ける,0,0
1884,1885,turn in (～),～を提出する、寝る,0,0
1885,1886,turn out,であることがわかる、集まる,0,0
1886,1887,turn to ～,～に頼る、(犯罪・悪習など)に走る、～に取りかかる,0,0
1887,1888,walk off [away] with ～,～を盗む、(賞など)をあっさり手に入れる,0,0
1888,1889,wander off,はぐれる、(道路・場所から)外れる、(主題から)脱線する,0,0
1889,1890,want for ～,～を欠いている,0,0
1890,1891,wash away ～,～を洗い流す、(記憶・感情など)を洗い去る,0,0
1891,1892,wash down ～,(食べ物など)を流し込む、～を洗い流す,0,0
1892,1893,watch over ～,～の世話をする、～を見守る、～を監視する,0,0
1893,1894,wear off,(薬効・印象・痛みなどが)しだいに弱まる、すり減ってなくなる,0,0
1894,1895,wear out ～,～を疲れ果てさせる,0,0
1895,1896,weigh on ～,～に重くのしかかる、～を圧迫する、～を苦しめる,0,0
1896,1897,win over ～,～を説得する,0,0
1897,1898,wipe out ～,～を消滅[絶滅]させる、～を撲滅する,0,0
1898,1899,work out ～,(計画・対策など)を練る、(問題)を解決する、～を計算する,0,0
1899,1900,wrap up ～,(仕事・交渉など)を滞りなく終える,0,0
